divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
416,-0.008813469642445509,0,5,-0.01190746669929167,0,3.5,30,0,104,0,0,1,1,Mumbai,416
416,0.07685145957630846,0,10,0.1891201858982725,1,13,53.5,0,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,0.005731381568919353,0,7,37,0,104,0,0,1,1,Mumbai,416
416,-0.011730569483715973,0,4,0.02072267688210639,0,8,17.5,0,104,1,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,0.030072060481714475,0,8.5,23.5,0,104,0,0,1,1,Mumbai,416
416,-0.010867875432043757,0,4.5,0.030072060481714475,0,8.5,26,0,104,0,0,1,1,Mumbai,416
416,0.05123344940392207,0,9,0.02072267688210639,0,8,60.5,0,104,0,0,1,1,Mumbai,416
416,-9.080702872152121e-4,0,6,0.1891201858982725,1,13,45,0,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,0.1425388263957793,0,12,17.5,0,104,1,0,1,1,Mumbai,416
416,-0.011394749819144448,0,3.5,0.006641204624826037,0,1,34.5,0,104,0,0,1,1,Mumbai,416
416,0.012428533706486364,0,7,0.06535227767432476,0,10,60.5,0,104,0,0,1,1,Mumbai,416
416,0.23306896863446463,1,13.5,0.6646089610311775,1,20,81.5,1,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,0.005731381568919353,0,7,3.5,1,104,1,0,1,1,Mumbai,416
416,0.17904470005320164,1,12.5,0.6093692748645867,0,19.5,81.5,1,104,0,0,1,1,Mumbai,416
416,0.6020514626999097,1,18,2.654734211264683,3,29,91.5,1,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.010379981369818462,0,5,11.5,1,104,1,0,1,1,Mumbai,416
416,0.7022094137270131,1,19,1.3603345316200715,1,24,91.5,1,104,0,0,1,1,Mumbai,416
416,0.009325595471175823,0,1,-0.010379981369818462,0,5,11.5,1,104,1,0,1,1,Mumbai,416
416,1.585251635381727,2,25,1.8223176744571294,2,26,98.5,1,104,0,0,1,1,Mumbai,416
416,0.6020514626999097,2,18,2.9706990606882417,3,30,94.5,1,104,0,0,1,1,Mumbai,416
416,2.003741262955117,2,27,2.9706990606882417,3,30,101,1,104,0,0,1,1,Mumbai,416
416,1.585251635381727,2,25,2.654734211264683,3,29,104,1,104,0,0,1,1,Mumbai,416
416,-0.00980764169644881,0,3,-0.010379981369818462,0,5,53.5,1,104,0,0,1,1,Mumbai,416
416,0.07685145957630846,0,10,0.04007208785849348,0,9,86.5,1,104,0,0,1,1,Mumbai,416
416,0.15516123651265945,0,12,0.1425388263957793,0,12,78.5,1,104,0,0,1,1,Mumbai,416
416,-0.011394749819144448,0,3.5,-0.010210979252664683,0,3,49,1,104,0,0,1,1,Mumbai,416
416,-0.008813469642445509,0,5,0.02072267688210639,0,8,51,1,104,0,0,1,1,Mumbai,416
416,-0.0028251760575650157,0,2,-0.0038836233964562295,0,6,30,0,104,0,0,1,1,Mumbai,416
417,-0.0028251760575650157,0,2,-0.010379981369818462,0,5,7,1,76,1,0,1,1,Mumbai,417
417,0.05123344940392207,0,9,0.10086891016810756,0,11,15.5,1,76,1,0,1,1,Mumbai,417
417,0.7022094137270131,2,19,1.154421990579205,1,23,58,1,76,0,0,1,1,Mumbai,417
417,0.5086152688934107,1,17,0.29649848760733805,0,15,61,1,76,0,0,1,1,Mumbai,417
417,0.05123344940392207,1,9,0.02072267688210639,0,8,37,1,76,0,0,1,1,Mumbai,417
417,-0.0028251760575650157,0,2,-0.003760729103452741,0,2,12,1,76,1,0,1,1,Mumbai,417
417,-0.00980764169644881,0,3,-0.010210979252664683,0,3,12,1,76,1,0,1,1,Mumbai,417
417,-0.0028251760575650157,0,2,-0.012526025791768688,0,4,7,1,76,1,0,1,1,Mumbai,417
417,0.009325595471175823,0,1,0.006641204624826037,0,1,2,1,76,1,0,1,1,Mumbai,417
417,0.05123344940392207,0,9,0.35727178942193777,0,16,43,1,76,0,0,1,1,Mumbai,417
417,0.6020514626999097,1,18,0.8830872055735696,1,21.5,63,1,76,0,0,1,1,Mumbai,417
417,0.009325595471175823,0,1,-0.003760729103452741,0,2,3.5,1,76,1,0,1,1,Mumbai,417
417,0.05123344940392207,1,9,0.02072267688210639,0,8,44,1,76,0,0,1,1,Mumbai,417
417,0.20489353053293644,1,13,0.1891201858982725,1,13,52,1,76,0,0,1,1,Mumbai,417
417,0.6020514626999097,1,18,0.4193332461017826,1,17,65,1,76,0,0,1,1,Mumbai,417
417,0.6020514626999097,1,18,2.3579816950605945,2,28,61,1,76,0,0,1,1,Mumbai,417
417,0.7022094137270131,1,19,0.4193332461017826,0,17,64,1,76,0,0,1,1,Mumbai,417
417,1.3990753662879902,2,24,1.700258638895511,1,25.5,70,1,76,0,0,1,1,Mumbai,417
417,0.3351562345493845,1,15,1.154421990579205,1,23,53,1,76,0,0,1,1,Mumbai,417
417,-0.008813469642445509,0,5,-0.010379981369818462,0,5,14,0,76,1,0,1,1,Mumbai,417
417,-0.00980764169644881,0,3,0.02072267688210639,0,8,22,0,76,0,0,1,1,Mumbai,417
417,1.7868372022506107,1,26,2.3579816950605945,2,28,74.5,0,76,0,0,1,1,Mumbai,417
417,-0.008813469642445509,0,5,0.005731381568919353,0,7,31,0,76,0,0,1,1,Mumbai,417
417,-0.011730569483715973,0,4,-0.012526025791768688,0,4,17.5,0,76,1,0,1,1,Mumbai,417
417,-0.00980764169644881,0,3,-0.003760729103452741,0,2,9,0,76,1,0,1,1,Mumbai,417
417,-0.008813469642445509,0,5,-0.010379981369818462,0,5,28,0,76,0,0,1,1,Mumbai,417
417,0.026753440928014096,0,0,-0.012526025791768688,0,4,1,0,76,1,0,1,1,Mumbai,417
417,0.009325595471175823,0,1,0.02137945219146313,0,0,3.5,0,76,1,0,1,1,Mumbai,417
417,-0.0028251760575650157,0,2,-0.003760729103452741,0,2,17.5,0,76,1,0,1,1,Mumbai,417
417,-0.011730569483715973,0,4,0.04007208785849348,0,9,22,0,76,0,0,1,1,Mumbai,417
417,-0.0028251760575650157,0,2,-0.0038836233964562295,0,6,22,0,76,0,0,1,1,Mumbai,417
417,-0.00980764169644881,0,3,-0.010379981369818462,0,5,5,0,76,1,0,1,1,Mumbai,417
417,0.005053649559544704,0,6.5,-0.010210979252664683,0,3,19,0,76,1,0,1,1,Mumbai,417
417,-0.008813469642445509,0,5,0.005731381568919353,0,7,12,0,76,1,0,1,1,Mumbai,417
417,0.009325595471175823,0,1,0.006641204624826037,0,1,10,0,76,1,0,1,1,Mumbai,417
417,0.20489353053293644,0,13,0.1891201858982725,0,13,55,0,76,0,0,1,1,Mumbai,417
417,0.3351562345493845,1,15,0.08197100678495918,0,10.5,47,1,76,0,0,1,1,Mumbai,417
417,0.040638372100067766,0,8.5,0.030072060481714475,0,8.5,30,1,76,0,0,1,1,Mumbai,417
417,0.20489353053293644,0,13,0.6646089610311775,0,20,56.5,1,76,0,0,1,1,Mumbai,417
417,-0.00980764169644881,0,3,-0.003760729103452741,0,2,28,1,76,0,0,1,1,Mumbai,417
417,0.11184544751874947,0,11,0.005731381568919353,0,7,38.5,1,76,0,0,1,1,Mumbai,417
417,0.15516123651265945,0,12,0.1425388263957793,0,12,40,1,76,0,0,1,1,Mumbai,417
417,1.2289989973150477,1,23,2.9706990606882417,3,30,66,1,76,0,0,1,1,Mumbai,417
417,1.2289989973150477,2,23,0.4193332461017826,0,17,71,1,76,0,0,1,1,Mumbai,417
417,2.003741262955117,2,27,0.8028367548789205,1,21,69,1,76,0,0,1,1,Mumbai,417
417,-9.080702872152121e-4,0,6,0.35727178942193777,1,16,34,1,76,0,0,1,1,Mumbai,417
417,0.030824812581009192,0,8,0.4193332461017826,1,17,41,1,76,0,0,1,1,Mumbai,417
417,-0.008813469642445509,0,5,0.12130513448472816,0,11.5,32.5,1,76,0,0,1,1,Mumbai,417
417,0.418347963605005,0,16,0.29649848760733805,1,15,59,1,76,0,0,1,1,Mumbai,417
417,1.585251635381727,2,25,2.9706990606882417,3,30,73,1,76,0,0,1,1,Mumbai,417
417,0.15516123651265945,0,12,0.24114281878816873,0,14,42,1,76,0,0,1,1,Mumbai,417
